ID,Player_ID,Player_Name,Country,Career_Span,Matches_Played,Active_Player,Is_Allrounder,Player_Category,Innings_Batted,Total_Runs,Batting_Average,Not_Outs,Highest_Score,Centuries,Fifties,Ducks_Career,Stumpings_Total,Catches_Total,Fielding_Catches,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets,Innings_Fielded
694,36604,DC Cleverley,NZ,1932-1946,2,No,Yes,Bowler,4,19,19.0,3,10,0,0,0,0,0,0,130,0,0.0,3.51,0.0,0,0,2
695,1175488,DC Jurel,IND,2024-2025,7,Yes,Yes,Wicketkeeper,11,430,47.77,2,125,1,1,0,2,14,12,0,0,0.0,0.0,0.0,0,0,14
696,46729,DC Parkin,SA,1892-1892,1,No,Yes,Bowler,2,6,3.0,0,6,0,0,1,0,1,1,82,3,27.33,3.78,43.3,0,0,1
697,248920,DC Thomas,WI,2022-2022,1,No,Yes,Bowler,2,31,15.5,0,19,0,0,0,0,1,1,66,2,33.0,4.12,48.0,0,0,2
698,21565,DCH Townsend,ENG,1935-1935,3,No,Yes,Bowler,6,77,12.83,0,36,0,0,0,0,1,1,9,0,0.0,9.0,0.0,0,0,5
699,10777,DCS Compton,ENG,1937-1957,78,No,Yes,Batsman,131,5807,50.06,15,278,17,28,10,0,49,49,1410,25,56.4,3.12,108.4,1,0,146
700,36290,DD Beard,NZ,1952-1956,4,No,Yes,Batsman,7,101,20.2,2,31,0,0,0,0,2,2,302,9,33.55,2.24,89.5,0,0,7
701,4154,DD Blackie,AUS,1928-1929,3,No,Yes,Bowler,6,24,8.0,3,11,0,0,2,0,2,2,444,14,31.71,2.11,90.0,1,0,6
702,55416,DD Ebrahim,ZIM,2001-2005,29,No,Yes,Bowler,55,1225,22.68,1,94,0,10,8,0,16,16,0,0,0.0,0.0,0.0,0,0,45
703,29297,DD Hindlekar,IND,1936-1946,4,No,Yes,Bowler,7,71,14.2,2,26,0,0,0,0,3,3,0,0,0.0,0.0,0.0,0,0,7
704,32207,DD Parsana,IND,1979-1979,2,No,Yes,Bowler,2,1,0.5,0,1,0,0,1,0,0,0,50,1,50.0,2.5,120.0,0,0,4
705,38610,DD Taylor,NZ,1947-1956,3,No,Yes,Batsman,5,159,31.8,0,77,0,1,0,0,2,2,0,0,0.0,0.0,0.0,0,0,5
706,51300,DE Bernard,WI,2003-2009,3,No,Yes,Batsman,6,202,40.4,1,69,0,3,0,0,0,0,185,4,46.25,4.3,64.5,0,0,6
707,4508,DE Bollinger,AUS,2009-2010,12,No,Yes,Bowler,14,54,7.71,7,21,0,0,3,0,2,2,1296,50,25.92,3.23,48.0,2,0,23
708,5669,DE Hoare,AUS,1961-1961,1,No,Yes,Batsman,2,35,17.5,0,35,0,0,1,0,2,2,156,2,78.0,4.03,116.0,0,0,2
709,16885,DE Malcolm,ENG,1989-1997,40,No,Yes,Bowler,58,236,6.05,19,29,0,0,16,0,7,7,4748,128,37.09,3.35,66.2,5,2,73
710,45694,DEJ Ironside,SA,1953-1954,3,No,Yes,Bowler,4,37,18.5,2,13,0,0,0,0,1,1,275,15,18.33,1.67,65.7,1,0,5
711,18393,DEV Padgett,ENG,1960-1960,2,No,Yes,Bowler,4,51,12.75,0,31,0,0,0,0,0,0,8,0,0.0,4.0,0.0,0,0,4
712,8210,DF Whatmore,AUS,1979-1979,7,No,Yes,Bowler,13,293,22.53,0,77,0,2,1,0,13,13,11,0,0.0,2.2,0.0,0,0,11
713,498585,DG Bedingham,SA,2023-2025,15,Yes,Yes,Batsman,26,828,36.0,3,110,1,4,2,0,17,17,0,0,0.0,0.0,0.0,0,0,30
714,4188,DG Bradman,AUS,1928-1948,52,No,Yes,Batsman,80,6996,99.94,10,334,29,13,7,0,32,32,72,2,36.0,2.7,80.0,0,0,99
715,4493,DG Brownlie,NZ,2011-2013,14,No,Yes,Batsman,25,711,29.62,1,109,1,4,3,0,17,17,52,1,52.0,4.72,66.0,0,0,25
716,10816,DG Cork,ENG,1995-2002,37,No,Yes,Bowler,56,864,18.0,8,59,0,3,5,0,18,18,3906,131,29.81,3.05,58.6,5,0,65
717,32309,DG Phadkar,IND,1947-1959,31,No,Yes,Batsman,45,1229,32.34,7,123,2,8,3,0,21,21,2285,62,36.85,2.28,96.6,3,0,50
718,38386,DG Sewell,NZ,1997-1997,1,No,Yes,Bowler,1,1,0.0,1,1,0,0,0,0,0,0,90,0,0.0,3.91,0.0,0,0,2
719,55265,DH Brain,ZIM,1992-1995,9,No,Yes,Bowler,13,115,10.45,2,28,0,0,4,0,1,1,915,30,30.5,3.03,60.3,1,0,16
720,13418,DI Gower,ENG,1978-1992,117,No,Yes,Batsman,204,8231,44.25,18,215,18,39,7,0,74,74,20,1,20.0,3.33,36.0,0,0,211
721,51439,DJ Bravo,WI,2004-2010,40,No,Yes,Batsman,71,2200,31.42,1,113,3,13,6,0,41,41,3426,86,39.83,3.17,75.1,2,0,71
722,9252,DJ Brown,ENG,1965-1969,26,No,Yes,Bowler,34,342,11.79,5,44,0,0,6,0,7,7,2237,79,28.31,2.63,64.5,2,0,46
723,10653,DJ Capel,ENG,1987-1990,15,No,Yes,Batsman,25,374,15.58,1,98,0,2,4,0,6,6,1064,21,50.66,3.19,95.2,0,0,24
724,4600,DJ Colley,AUS,1972-1972,3,No,Yes,Batsman,4,84,21.0,0,54,0,1,0,0,1,1,312,6,52.0,2.56,121.5,0,0,6
725,4882,DJ Cullen,AUS,2006-2006,1,No,Yes,Bowler,0,0,0.0,0,0,0,0,0,0,0,0,54,1,54.0,3.85,84.0,0,0,2
726,44489,DJ Cullinan,SA,1993-2001,70,No,Yes,Batsman,115,4554,44.21,12,275,14,20,10,0,67,67,71,2,35.5,3.55,60.0,0,0,130
727,28770,DJ Gandhi,IND,1999-1999,4,No,Yes,Batsman,7,204,34.0,1,88,0,2,2,0,3,3,0,0,0.0,0.0,0.0,0,0,8
728,15399,DJ Insole,ENG,1950-1957,9,No,Yes,Bowler,17,408,27.2,2,110,1,1,2,0,8,8,0,0,0.0,0.0,0.0,0,0,18
729,29712,DJ Johnson,IND,1996-1996,2,No,Yes,Bowler,3,8,4.0,1,5,0,0,0,0,0,0,143,3,47.66,3.57,80.0,0,0,4
730,15911,DJ Knight,ENG,1921-1921,2,No,Yes,Bowler,4,54,13.5,0,38,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,4
731,236489,DJ Malan,ENG,2017-2022,22,No,Yes,Batsman,39,1074,27.53,0,140,1,9,2,0,13,13,131,2,65.5,3.54,111.0,0,0,40
732,46203,DJ McGlew,SA,1951-1962,34,No,Yes,Batsman,64,2440,42.06,6,255,7,10,4,0,18,18,23,0,0.0,4.31,0.0,0,0,63
733,46217,DJ Meintjes,SA,1923-1923,2,No,Yes,Bowler,3,43,14.33,0,21,0,0,0,0,3,3,115,6,19.16,2.8,41.0,0,0,4
734,381743,DJ Mitchell,NZ,2019-2025,33,Yes,Yes,Batsman,53,2139,44.56,5,190,5,15,1,0,48,48,385,3,128.33,3.17,242.3,0,0,64
735,37735,DJ Murray,NZ,1994-1995,8,No,Yes,Bowler,16,303,20.2,1,52,0,1,3,0,6,6,0,0,0.0,0.0,0.0,0,0,14
736,38008,DJ Nash,NZ,1992-2001,32,No,Yes,Batsman,45,729,23.51,14,89,0,4,5,0,13,13,2649,93,28.48,2.56,66.6,3,1,56
737,52794,DJ Pagon,WI,2005-2005,2,No,Yes,Bowler,3,37,12.33,0,35,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4
738,270253,DJ Pattinson,ENG,2008-2008,1,No,Yes,Bowler,2,21,10.5,0,13,0,0,0,0,0,0,96,2,48.0,3.18,90.5,0,0,2
739,46978,DJ Richardson,SA,1992-1998,42,No,Yes,Wicketkeeper,64,1359,24.26,8,109,1,8,7,2,150,148,0,0,0.0,0.0,0.0,0,0,77
740,7623,DJ Sincock,AUS,1964-1966,3,No,Yes,Batsman,4,80,26.66,1,29,0,0,0,0,2,2,410,8,51.25,3.39,90.5,0,0,5
741,47541,DJ Terbrugge,SA,1998-2004,7,No,Yes,Bowler,8,16,5.33,5,4,0,0,2,0,4,4,517,20,25.85,3.06,50.6,1,0,14
742,262456,DJ Vilas,SA,2015-2016,6,No,Yes,Bowler,9,94,10.44,0,26,0,0,0,0,13,13,0,0,0.0,0.0,0.0,0,0,10
743,38749,DJ White,NZ,1990-1990,2,No,Yes,Bowler,4,31,7.75,0,18,0,0,0,0,0,0,5,0,0.0,10.0,0.0,0,0,3
744,53115,DJG Sammy,WI,2007-2013,38,No,Yes,Batsman,63,1323,21.68,2,106,1,5,8,0,65,65,3007,84,35.79,2.9,73.9,4,0,68
745,28755,DK Gaekwad,IND,1952-1961,11,No,Yes,Bowler,20,350,18.42,1,52,0,1,3,0,5,5,12,0,0.0,6.0,0.0,0,0,17
746,6295,DK Lillee,AUS,1971-1984,70,No,Yes,Bowler,90,905,13.71,24,73,0,1,10,0,23,23,8493,355,23.92,2.75,52.0,23,7,133
747,49554,DK Liyanage,SL,1992-2001,9,No,Yes,Bowler,9,69,7.66,0,23,0,0,1,0,0,0,666,17,39.17,2.94,79.7,0,0,15
748,37730,DK Morrison,NZ,1987-1997,48,No,Yes,Bowler,71,379,8.42,26,42,0,0,24,0,14,14,5549,160,34.68,3.3,62.9,10,0,76
749,8535,DL Amiss,ENG,1966-1977,50,No,Yes,Batsman,88,3612,46.3,10,262,11,11,10,0,24,24,0,0,0.0,0.0,0.0,0,0,90
750,8954,DL Bairstow,ENG,1979-1981,4,No,Yes,Wicketkeeper,7,125,20.83,1,59,0,1,1,1,12,11,0,0,0.0,0.0,0.0,0,0,7
751,37005,DL Freeman,NZ,1933-1933,2,No,Yes,Batsman,2,2,1.0,0,1,0,0,0,0,0,0,169,1,169.0,4.22,240.0,0,0,2
752,52047,DL Haynes,WI,1978-1994,116,No,Yes,Batsman,202,7487,42.29,25,184,18,39,10,0,65,65,8,1,8.0,2.66,18.0,0,0,221
753,55497,DL Houghton,ZIM,1992-1997,22,No,Yes,Batsman,36,1464,43.05,2,266,4,4,0,0,17,17,0,0,0.0,0.0,0.0,0,0,40
754,16876,DL Maddy,ENG,1999-2000,3,No,Yes,Bowler,4,46,11.5,0,24,0,0,0,0,4,4,40,0,0.0,2.85,0.0,0,0,5
755,52441,DL Murray,WI,1963-1980,62,No,Yes,Wicketkeeper,96,1993,22.9,9,91,0,11,7,8,181,173,0,0,0.0,0.0,0.0,0,0,119
756,379926,DL Piedt,SA,2014-2024,12,Yes,Yes,Batsman,17,214,15.28,3,56,0,1,2,0,5,5,1521,37,41.1,3.76,65.5,2,0,22
757,22149,DL Underwood,ENG,1966-1982,86,No,Yes,Bowler,116,937,11.56,35,45,0,0,19,0,44,44,7674,297,25.83,2.1,73.6,17,6,157
758,38710,DL Vettori,NZ,1997-2014,113,No,Yes,Batsman,174,4531,30.0,23,140,6,23,20,0,58,58,12441,362,34.36,2.59,79.5,20,3,205
759,646847,DM Bess,ENG,2018-2021,14,No,Yes,Batsman,19,319,22.78,5,57,0,1,3,0,3,3,1223,36,33.97,2.93,69.5,2,0,26
760,277472,DM Bravo,WI,2010-2020,56,No,Yes,Batsman,102,3538,36.47,5,218,8,17,5,0,51,51,2,0,0.0,2.0,0.0,0,0,96
761,6044,DM Jones,AUS,1984-1992,52,No,Yes,Batsman,89,3631,46.55,11,216,11,14,11,0,34,34,64,1,64.0,1.93,198.0,0,0,91
762,52342,DM Lewis,WI,1971-1971,3,No,Yes,Batsman,5,259,86.33,2,88,0,3,0,0,8,8,0,0,0.0,0.0,0.0,0,0,6
763,52833,DM Richards,WI,2009-2010,3,No,Yes,Bowler,6,125,20.83,0,69,0,1,1,0,4,4,0,0,0.0,0.0,0.0,0,0,6
764,20235,DM Smith,ENG,1986-1986,2,No,Yes,Bowler,4,80,20.0,0,47,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4
765,53355,DM Washington,WI,2005-2005,1,No,Yes,Bowler,1,7,0.0,1,7,0,0,0,0,3,3,93,0,0.0,3.2,0.0,0,0,2
766,8198,DM Wellham,AUS,1981-1987,6,No,Yes,Bowler,11,257,23.36,0,103,1,0,0,0,5,5,0,0,0.0,0.0,0.0,0,0,10
767,465793,DM de Silva,SL,2016-2025,65,Yes,Yes,Batsman,115,4133,38.99,9,173,12,19,10,0,87,87,2301,43,53.51,3.32,96.4,0,0,118
768,38118,DN Patel,NZ,1987-1997,37,No,Yes,Batsman,66,1200,20.68,8,99,0,5,10,0,15,15,3154,75,42.05,2.86,87.9,3,0,62
769,33850,DN Sardesai,IND,1961-1972,30,No,Yes,Batsman,55,2001,39.23,4,212,5,9,4,0,4,4,45,0,0.0,4.57,0.0,0,0,55
770,1152427,DN Wellalage,SL,2022-2022,1,No,Yes,Bowler,2,29,14.5,0,18,0,0,0,0,2,2,35,0,0.0,2.69,0.0,0,0,2
771,51050,DNT Zoysa,SL,1997-2004,30,No,Yes,Bowler,40,288,8.47,6,28,0,0,9,0,4,4,2157,64,33.7,2.92,69.0,1,0,51
772,379140,DP Conway,NZ,2021-2025,29,Yes,Yes,Batsman,54,2081,39.26,1,200,5,12,4,0,14,14,0,0,0.0,0.0,0.0,0,0,57
773,44460,DP Conyngham,SA,1923-1923,1,No,Yes,Bowler,2,6,0.0,2,3,0,0,0,0,1,1,103,2,51.5,1.68,183.0,0,0,2
774,50422,DP Samaraweera,SL,1993-1995,7,No,Yes,Bowler,14,211,15.07,0,42,0,0,1,0,5,5,0,0,0.0,0.0,0.0,0,0,9
775,519082,DP Sibley,ENG,2019-2021,22,No,Yes,Bowler,39,1042,28.94,3,133,2,5,6,0,12,12,7,0,0.0,7.0,0.0,0,0,41
776,55825,DP Viljoen,ZIM,1998-2000,2,No,Yes,Batsman,4,57,14.25,0,38,0,0,2,0,1,1,65,1,65.0,3.71,105.0,0,0,3
777,46246,DPB Morkel,SA,1927-1932,16,No,Yes,Batsman,28,663,24.55,1,88,0,4,3,0,13,13,821,18,45.61,2.89,94.6,0,0,28
778,49289,DPMD Jayawardene,SL,1997-2014,149,No,Yes,Batsman,252,11814,49.84,15,374,34,50,15,0,205,205,310,6,51.66,3.15,98.1,0,0,270
779,28107,DR Doshi,IND,1979-1983,33,No,Yes,Bowler,38,129,4.6,10,20,0,0,14,0,10,10,3502,114,30.71,2.25,81.7,6,0,57
780,37095,DR Flynn,NZ,2008-2013,24,No,Yes,Bowler,45,1038,25.95,5,95,0,6,8,0,10,10,0,0,0.0,0.0,0.0,0,0,40
781,5385,DR Gilbert,AUS,1985-1986,9,No,Yes,Bowler,12,57,7.12,4,15,0,0,1,0,0,0,843,16,52.68,3.07,102.9,0,0,13
782,37222,DR Hadlee,NZ,1969-1978,26,No,Yes,Bowler,42,530,14.32,5,56,0,1,9,0,8,8,2389,71,33.64,2.93,68.7,0,0,45
783,15481,DR Jardine,ENG,1928-1934,22,No,Yes,Batsman,33,1296,48.0,6,127,1,10,2,0,26,26,10,0,0.0,10.0,0.0,0,0,42
784,6513,DR Martyn,AUS,1992-2006,67,No,Yes,Batsman,109,4406,46.37,14,165,13,23,7,0,36,36,168,2,84.0,2.89,174.0,0,0,130
785,38064,DR O'Sullivan,NZ,1973-1976,11,No,Yes,Batsman,21,158,9.29,4,23,0,0,2,0,2,2,1224,18,68.0,2.67,152.4,1,0,19
786,52670,DR Parry,WI,1978-1980,12,No,Yes,Batsman,20,381,22.41,3,65,0,3,3,0,4,4,936,23,40.69,2.94,83.0,1,0,21
