Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
SJ Harmison (ENG/ICC),14054,2002-2009,63,7192,226,31.82,3.22,59.1,8,1
VD Philander (SA),46945,2011-2020,64,5000,224,22.32,2.63,50.8,13,2
PM Siddle (AUS),7898,2008-2019,67,6777,221,30.66,2.92,62.9,8,0
CL Cairns (NZ),36597,1989-2004,62,6410,218,29.4,3.28,53.6,13,1
CV Grimmett (AUS),5443,1925-1936,37,5231,216,24.21,2.16,67.1,21,7
HH Streak (ZIM),55761,1993-2005,65,6079,216,28.14,2.69,62.7,7,0
MG Hughes (AUS),5726,1985-1994,53,6017,212,28.38,2.93,57.9,7,1
KA Maharaj (SA),267724,2016-2025,60,6191,212,29.2,3.09,56.5,12,1
SCG MacGill (AUS),6441,1998-2008,44,6038,208,29.02,3.22,54,12,2
Mehidy Hasan Miraz (BAN),629063,2016-2025,55,6685,208,32.13,3.12,61.7,13,3
Saqlain Mushtaq (PAK),42628,1995-2004,49,6206,208,29.83,2.64,67.6,13,3
MM Ali (ENG),8917,2014-2023,68,7612,204,37.31,3.62,61.8,5,1
AME Roberts (WI),52817,1974-1983,47,5174,202,25.61,2.78,55.1,11,2
JA Snow (ENG),20282,1965-1976,49,5387,202,26.66,2.68,59.5,8,1
JR Thomson (AUS),7946,1972-1985,51,5601,200,28,3.18,52.6,8,0
JC Laker (ENG),16172,1948-1959,46,4101,193,21.24,2.04,62.3,9,3
WW Hall (WI),52043,1958-1969,48,5066,192,26.38,2.91,54.2,9,1
CR Woakes (ENG),247235,2013-2025,62,5686,192,29.61,3.04,58.4,5,1
SF Barnes (ENG),8996,1901-1914,27,3106,189,16.43,2.36,41.6,24,7
EAS Prasanna (IND),32357,1962-1978,49,5742,189,30.38,2.4,75.9,10,2
AK Davidson (AUS),4902,1953-1963,44,3819,186,20.53,1.97,62.2,14,2
Mushtaq Ahmed (PAK),41316,1990-2003,52,6100,185,32.97,2.92,67.7,10,3
GF Lawson (AUS),6272,1980-1989,46,5501,180,30.56,2.96,61.7,11,2
Saeed Ajmal (PAK),42699,2009-2014,35,5003,178,28.1,2.58,65.1,10,4
Shoaib Akhtar (PAK),42655,1997-2007,46,4574,178,25.69,3.37,45.7,12,2
ARC Fraser (ENG),12909,1989-1998,46,4836,177,27.32,2.66,61.4,13,2
Sarfraz Nawaz (PAK),42630,1969-1984,55,5798,177,32.75,2.49,78.8,4,1
GAR Lock (ENG),16331,1952-1968,49,4451,174,25.58,2.03,75.5,9,3
Iqbal Qasim (PAK),40572,1976-1988,50,4807,171,28.11,2.21,76.1,8,2
RAS Lakmal (SL),49619,2010-2022,70,6232,171,36.44,3,72.7,4,0
TM Alderman (AUS),3943,1981-1991,41,4616,170,27.15,2.72,59.8,14,1
KR Miller (AUS),6612,1946-1956,55,3906,170,22.97,2.24,61.5,7,1
HJ Tayfield (SA),47531,1949-1960,37,4405,170,25.91,1.94,79.8,14,2
UT Yadav (IND),376116,2011-2023,57,5263,170,30.95,3.51,52.8,3,1
MS Panesar (ENG),18655,2006-2013,50,5797,167,34.71,2.78,74.7,12,2
ST Gabriel (WI),446101,2012-2023,59,5348,166,32.21,3.42,56.5,6,1
FH Edwards (WI),51782,2003-2012,55,6249,165,37.87,3.9,58.1,12,0
Umar Gul (PAK),43524,2003-2013,47,5553,163,34.06,3.47,58.8,4,0
JO Holder (WI),391485,2014-2024,69,4924,162,30.39,2.61,69.7,8,1
MH Mankad (IND),30939,1946-1959,44,5236,162,32.32,2.13,90.6,8,2
IR Bishop (WI),51226,1989-1998,43,3909,161,24.27,2.78,52.2,6,0
MDK Perera (SL),49920,2014-2021,43,5780,161,35.9,3.2,67.1,8,2
WA Johnston (AUS),6041,1947-1955,40,3826,160,23.91,2.07,69,7,0
DK Morrison (NZ),37730,1987-1997,48,5549,160,34.68,3.3,62.9,10,0
S Ramadhin (WI),52804,1950-1961,43,4579,158,28.98,1.97,88.2,10,1
S Venkataraghavan (IND),35656,1965-1983,57,5634,156,36.11,2.27,95.3,3,1
MW Tate (ENG),21462,1924-1935,39,4055,155,26.16,1.94,80.7,7,1
FJ Titmus (ENG),21548,1955-1975,53,4931,153,32.22,1.95,98.8,7,0
RJ Shastri (IND),33975,1981-1992,80,6185,151,40.96,2.35,104.3,2,0
SP Gupte (IND),28880,1951-1961,36,4403,149,29.55,2.34,75.7,12,1
JE Emburey (ENG),12514,1978-1995,64,5646,147,38.4,2.2,104.7,6,0
WJ O'Reilly (AUS),7020,1932-1946,27,3254,144,22.59,1.94,69.6,11,3
H Verity (ENG),22185,1931-1939,40,3510,144,24.37,1.88,77.5,5,2
AF Giles (ENG),13368,1998-2006,54,5806,143,40.6,2.86,85.1,5,0
CM Old (ENG),18256,1972-1981,46,4020,143,28.11,2.72,61.9,4,0
MJ Leach (ENG),455524,2018-2024,39,4838,142,34.07,3.08,66.2,5,1
AW Greig (ENG),13463,1972-1977,58,4541,141,32.2,2.77,69.5,6,2
H Trumble (AUS),7977,1890-1904,32,3072,141,21.78,2.27,57.4,9,3
PAJ DeFreitas (ENG),11865,1986-1995,44,4700,140,33.57,2.86,70.2,4,0
Fazal Mahmood (PAK),40092,1952-1962,34,3434,139,24.7,2.09,70.7,13,4
AL Valentine (WI),53196,1950-1962,36,4215,139,30.32,1.95,93.1,8,2
GR Dilley (ENG),11893,1979-1989,41,4107,138,29.76,3,59.3,6,0
MHN Walker (AUS),8137,1972-1977,34,3792,138,27.47,2.25,73.1,6,0
MJ Henry (NZ),506612,2015-2025,32,3727,136,27.4,3.14,52.2,6,0
