Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
WE Midwinter (AUS/ENG),6605,1877-1887,12,605,24,25.2,2.1,71.8,1,0
Mohsin Kamal (PAK),41301,1984-1994,9,822,24,34.25,3.65,56.1,0,0
A Symonds (AUS),7702,2004-2008,26,896,24,37.33,2.56,87.2,0,0
MRCN Bandaratilleke (SL),48298,1998-2001,7,698,23,30.34,2.43,74.8,1,0
GN Francis (WI),51794,1928-1933,10,763,23,33.17,2.82,70.3,0,0
GA Gooch (ENG),13399,1975-1995,118,1069,23,46.47,2.41,115.4,0,0
GR Hazlitt (AUS),5622,1907-1912,9,623,23,27.08,2.39,67.9,1,0
GA Hick (ENG),14187,1991-2001,65,1306,23,56.78,2.56,132.9,0,0
VM Nyauchi (ZIM),453277,2020-2025,11,960,23,41.73,3.41,73.3,1,0
DR Parry (WI),52670,1978-1980,12,936,23,40.69,2.94,83,1,0
DA Renneberg (AUS),7328,1966-1968,8,830,23,36.08,3.11,69.4,2,0
RR Sarwan (WI),52969,2000-2011,87,1163,23,50.56,3.45,87.9,0,0
GHT Simpson-Hayward (ENG),20197,1910-1910,5,420,23,18.26,2.8,39,2,0
GJ Thompson (ENG),21528,1909-1910,6,638,23,27.73,2.8,59.4,0,0
Rehan Ahmed (ENG),1263691,2022-2024,5,687,22,31.22,3.97,47.1,1,0
XC Balaskas (SA),44040,1930-1939,9,806,22,36.63,3.07,71.4,1,0
LJ Coldwell (ENG),10763,1962-1964,7,610,22,27.72,2.19,75.8,1,0
ERH Fuller (SA),45080,1953-1958,7,668,22,30.36,2.11,86.2,1,0
MR Gillespie (NZ),37111,2007-2012,5,631,22,28.68,4.36,39.4,3,0
TWJ Goddard (ENG),13386,1930-1939,8,588,22,26.72,2.25,71,1,0
AH Gray (WI),51898,1986-1987,5,377,22,17.13,2.54,40.3,0,0
TW Hartley (ENG),1150772,2024-2024,5,795,22,36.13,3.17,68.3,1,0
CW Henderson (SA),45431,2001-2002,7,928,22,42.18,2.83,89.1,0,0
T Murphy (AUS),1193685,2023-2025,7,619,22,28.13,3.21,52.5,1,0
S Muthusamy (SA),535393,2019-2025,7,583,22,26.5,3.86,41.1,2,1
M Prasidh Krishna (IND),917159,2023-2025,6,756,22,34.36,4.72,43.6,0,0
Saeed Ahmed (PAK),42603,1958-1973,41,802,22,36.45,2.43,90,0,0
OC Scott (WI),52925,1928-1931,8,925,22,42.04,3.95,63.8,1,0
Aamer Jamal (PAK),793441,2023-2025,8,690,21,32.85,4.63,42.5,2,0
CP Buckenham (ENG),9280,1910-1910,4,593,21,28.23,3.01,56.2,1,0
DJ Capel (ENG),10653,1987-1990,15,1064,21,50.66,3.19,95.2,0,0
E Chigumbura (ZIM),55343,2004-2014,14,966,21,46,3.2,86,1,0
GWA Chubb (SA),44441,1951-1951,5,577,21,27.47,2.42,67.8,2,0
DT Dewdney (WI),51647,1955-1958,9,807,21,38.42,2.95,78.1,1,0
AG Fairfax (AUS),5209,1929-1931,10,645,21,30.71,2.54,72.3,0,0
DT Hondo (ZIM),55509,2001-2005,9,774,21,36.85,3.12,70.7,1,0
JB Iverson (AUS),5980,1950-1951,5,320,21,15.23,1.73,52.7,1,0
PW Jarvis (ENG),15485,1988-1993,9,965,21,45.95,3.02,91,0,0
CJ Jordan (ENG),288992,2014-2015,8,752,21,35.8,2.94,72.8,0,0
AH Kardar (IND/PAK),41030,1946-1958,26,954,21,45.42,2.11,129.1,0,0
SM Katich (AUS),6128,2001-2010,56,635,21,30.23,3.66,49.4,1,0
Mohammad Ashraful (BAN),55988,2001-2013,61,1271,21,60.52,4.4,82.5,0,0
Mohammad Farooq (PAK),41284,1960-1965,7,682,21,32.47,2.87,67.7,0,0
AE Moss (ENG),17114,1954-1960,9,626,21,29.8,2.26,78.9,0,0
SP Narine (WI),230558,2012-2013,6,851,21,40.52,3.09,78.5,2,0
C Overton (ENG),464626,2017-2022,8,760,21,36.19,3.09,70,0,0
NWD Yardley (ENG),23521,1938-1950,20,707,21,33.66,2.55,79.1,0,0
Aamer Nazir (PAK),38966,1993-1995,6,597,20,29.85,3.38,52.8,1,0
Agha Salman (PAK),623977,2022-2025,23,1161,20,58.05,3.75,92.7,0,0
Aizaz Cheema (PAK),39821,2011-2012,7,638,20,31.9,3.19,60,0,0
IM Chappell (AUS),4560,1964-1980,75,1316,20,65.8,2.74,143.6,0,0
RJ Crisp (SA),44481,1935-1936,9,747,20,37.35,3.13,71.4,1,0
N Gordon (SA),45239,1938-1939,5,807,20,40.35,2.46,98.3,2,0
AP Gurusinha (SL),49005,1985-1996,41,681,20,34.05,2.9,70.4,0,0
VS Hazare (IND),29290,1946-1953,30,1220,20,61,2.57,142,0,0
Khurram Shahzad (PAK),1159495,2023-2025,6,600,20,30,3.97,45.3,1,0
SI Mahmood (ENG),17944,2006-2007,8,762,20,38.1,4.04,56.5,0,0
IDK Salisbury (ENG),20051,1992-2000,15,1539,20,76.95,3.7,124.6,0,0
Shujauddin (PAK),42660,1954-1962,19,801,20,40.05,2.07,115.6,0,0
KJ Silva (SL),50429,1995-1998,7,647,20,32.35,2.53,76.6,0,0
GTS Stevens (ENG),20369,1922-1930,10,648,20,32.4,3.27,59.3,2,1
CEL Stuart (WI),52960,2000-2001,6,628,20,31.4,3.37,55.8,0,0
SB Styris (NZ),38407,2002-2007,29,1015,20,50.75,3.1,98,0,0
DJ Terbrugge (SA),47541,1998-2004,7,517,20,25.85,3.06,50.6,1,0
Zulfiqar Ahmed (PAK),43706,1952-1956,9,366,20,18.3,1.7,64.2,2,1
GI Allott (NZ),36179,1996-1999,10,1111,19,58.47,3.29,106.4,0,0
R Howorth (ENG),14286,1947-1948,5,635,19,33.42,2.48,80.8,1,0
RK Illingworth (ENG),15383,1991-1995,9,615,19,32.36,2.48,78.1,0,0
RJ Kirtley (ENG),15901,2003-2003,4,561,19,29.52,3.11,56.7,1,0
James Langridge (ENG),16195,1933-1946,8,413,19,21.73,2.3,56.5,2,0
WP Masakadza (ZIM),571703,2018-2025,7,790,19,41.57,3.43,72.6,0,0
LC Mayne (AUS),6531,1965-1970,6,628,19,33.05,3.01,65.8,0,0
VB Ranjane (IND),33092,1958-1964,7,649,19,34.15,3.07,66.5,0,0
JN Shepherd (WI),52929,1969-1971,5,479,19,25.21,1.98,76,1,0
SPD Smith (AUS),267192,2010-2025,119,1008,19,53.05,4.11,77.3,0,0
RP Snell (SA),47215,1992-1994,5,538,19,28.31,3.14,53.9,0,0
SA Thomson (NZ),38613,1990-1995,19,953,19,50.15,2.87,104.7,0,0
L Tuckett (SA),47559,1947-1949,9,980,19,51.57,2.79,110.7,2,0
RK Tyldesley (ENG),21637,1924-1930,7,619,19,32.57,2.29,85,0,0
CD Watson (WI),53218,1960-1962,7,724,19,38.1,2.97,76.7,0,0
M Zondeki (SA),48112,2003-2008,6,480,19,25.26,3.69,41,1,0
VR Aaron (IND),360911,2011-2015,9,947,18,52.61,4.77,66,0,0
FS Ahangama (SL),48116,1985-1985,3,348,18,19.33,2.6,44.5,1,0
Amir Hamza (AFG),402245,2019-2023,4,517,18,28.72,3.15,54.6,2,0
DB Close (ENG),10754,1949-1976,22,532,18,29.55,2.63,67.3,0,0
K Cranston (ENG),10862,1947-1948,8,461,18,25.61,2.73,56.1,0,0
RM Edwards (WI),51740,1968-1969,5,626,18,34.77,2.86,72.8,1,0
Enamul Haque (BAN),55878,2001-2003,10,1027,18,57.05,2.76,123.8,0,0
TCB Fernando (SL),48844,2001-2002,9,792,18,44,3.74,70.5,0,0
JR Gunn (ENG),13491,1901-1905,6,387,18,21.5,2.32,55.5,1,0
DV Lawrence (ENG),16219,1988-1992,5,676,18,37.55,3.72,60.5,1,0
NB Mahwire (ZIM),55628,2002-2005,10,915,18,50.83,4.26,71.5,0,0
DPB Morkel (SA),46246,1927-1932,16,821,18,45.61,2.89,94.6,0,0
BA Murphy (ZIM),55610,2000-2001,11,1113,18,61.83,3.1,119.6,0,0
ARA Murray (SA),46264,1952-1954,10,710,18,39.44,1.79,131.8,0,0
Naved-ul-Hasan (PAK),42272,2004-2007,9,1044,18,58,4,86.9,0,0
DR O'Sullivan (NZ),38064,1973-1976,11,1224,18,68,2.67,152.4,1,0
D Shackleton (ENG),20115,1950-1963,7,768,18,42.66,2.21,115.4,0,0
ED Solkar (IND),34085,1969-1977,27,1070,18,59.44,2.83,125.8,0,0
AJ Traicos (SA/ZIM),55802,1970-1993,7,769,18,42.72,2.86,89.5,1,0
J Trim (WI),53131,1948-1952,4,291,18,16.16,2.19,44.1,1,0
RES Wyatt (ENG),22545,1927-1937,40,642,18,35.66,2.76,77.5,0,0
J Botha (SA),44149,2006-2010,5,573,17,33.7,3.38,59.8,0,0
W Brearley (ENG),9209,1905-1912,4,359,17,21.11,3.05,41.4,1,0
HD Bromfield (SA),44124,1961-1965,9,599,17,35.23,1.98,106.4,1,0
TL Chivanga (ZIM),1059122,2023-2025,8,700,17,41.17,4.72,52.2,0,0
PD Collingwood (ENG),10772,2003-2011,68,1018,17,59.88,3.2,112,0,0
HT Davis (NZ),36825,1994-1997,5,499,17,29.35,2.96,59.4,1,0
A D'Souza (PAK),40041,1959-1962,6,745,17,43.82,2.81,93.3,1,0
MA Ealham (ENG),12466,1996-1998,8,488,17,28.7,2.76,62.3,0,0
EJ Gray (NZ),37103,1983-1988,10,886,17,52.11,2.56,122.1,0,0
UC Hathurusingha (SL),49125,1991-1999,26,789,17,46.41,2.41,115.4,0,0
GB Hogg (AUS),5681,1996-2008,7,933,17,54.88,3.67,89.6,0,0
TV Hohns (AUS),5688,1989-1989,7,580,17,34.11,2.27,89.8,0,0
PM Hornibrook (AUS),5707,1929-1930,6,664,17,39.05,2.52,92.8,1,0
Javed Miandad (PAK),40879,1976-1993,124,682,17,40.11,2.78,86.4,0,0
DK Liyanage (SL),49554,1992-2001,9,666,17,39.17,2.94,79.7,0,0
NC McGarrell (WI),52428,2001-2001,4,453,17,26.64,2.24,71.2,0,0
TR McKibbin (AUS),6579,1895-1898,5,496,17,29.17,2.88,60.7,0,0
JW Martin (AUS),6509,1960-1967,8,832,17,48.94,2.7,108.5,0,0
PJ Martin (ENG),16925,1995-1997,8,580,17,34.11,2.39,85.4,0,0
Mohammad Akram (PAK),41282,1995-2001,9,859,17,50.52,3.48,86.8,1,0
JM Noreiga (WI),52634,1971-1971,4,493,17,29,2.23,77.7,2,0
NCL O'Neill (AUS),7015,1958-1965,42,667,17,39.23,2.87,81.8,0,0
MB Owens (NZ),38066,1992-1994,8,585,17,34.41,3.26,63.1,0,0
GAE Paine (ENG),18396,1935-1935,4,467,17,27.47,2.68,61.4,1,0
HH Pandya (IND),625371,2017-2018,11,528,17,31.05,3.38,55.1,1,0
PDRL Perera (SL),49870,1999-2002,8,661,17,38.88,3.5,66.4,0,0
TS Roland-Jones (ENG),370535,2017-2017,4,334,17,19.64,3.73,31.5,1,0
FE Rumsey (ENG),19494,1964-1965,5,461,17,27.11,2.41,67.3,0,0
J Ryder (AUS),7416,1920-1929,20,743,17,43.7,2.35,111.5,0,0
Shafiul Islam (BAN),288305,2010-2017,11,942,17,55.41,3.25,102,0,0
OP Stone (ENG),457279,2019-2024,5,400,17,23.52,3.93,35.8,0,0
Tanvir Ahmed (PAK),43307,2010-2013,5,453,17,26.64,3.84,41.5,1,0
CB van Ryneveld (SA),47704,1951-1958,19,671,17,39.47,2.59,91.4,0,0
HG Vivian (NZ),38712,1931-1937,7,633,17,37.23,2.89,77.1,0,0
JA Young (ENG),23534,1947-1949,8,757,17,44.52,1.91,139.2,0,0
CJ Anderson (NZ),277662,2013-2016,13,659,16,41.18,3.03,81.3,0,0
FT Badcock (NZ),36283,1930-1933,7,610,16,38.12,2.27,100.5,0,0
HMCM Bandara (SL),48284,1998-2006,8,633,16,39.56,3.29,72,0,0
EAE Baptiste (WI),51211,1983-1990,10,563,16,35.18,2.48,85.1,0,0
Bilal Asif (PAK),498875,2018-2018,5,424,16,26.5,2.16,73.3,2,0
KSC de Silva (SL),48460,1997-1999,8,889,16,55.56,3.36,99,1,0
CJ Drum (NZ),36839,2001-2002,5,482,16,30.12,3.58,50.3,0,0
Ehteshamuddin (PAK),40067,1979-1982,5,375,16,23.43,2.39,58.7,1,0
DR Gilbert (AUS),5385,1985-1986,9,843,16,52.68,3.07,102.9,0,0
T Greenhough (ENG),13446,1959-1960,4,357,16,22.31,1.89,70.5,1,0
CZ Harris (NZ),37232,1992-2002,23,1170,16,73.12,2.74,160,0,0
TM Head (AUS),530011,2018-2025,60,526,16,32.87,3.6,54.6,0,0
HSTL Hendry (AUS),5637,1921-1929,11,640,16,40,2.25,106.6,0,0
WW Hinds (WI),52057,2000-2005,45,590,16,36.87,3.15,70.1,0,0
LG Hylton (WI),52073,1935-1939,6,418,16,26.12,2.59,60.3,0,0
RL Johnson (ENG),15522,2003-2003,3,275,16,17.18,3.01,34.1,2,0
Jubair Hossain (BAN),629066,2014-2015,6,493,16,30.81,4.13,44.6,1,0
CK Langeveldt (SA),45963,2005-2006,6,593,16,37.06,3.56,62.4,1,0
H Masakadza (ZIM),55608,2001-2018,38,489,16,30.56,2.52,72.7,0,0
SW Masakadza (ZIM),343529,2012-2014,5,515,16,32.18,2.92,66,0,0
TJ Matthews (AUS),6527,1912-1912,8,419,16,26.18,2.32,67.5,0,0
FM Misson (AUS),6625,1960-1961,5,616,16,38.5,3.08,74.8,0,0
Mohammad Nawaz (3) (PAK),348148,2016-2022,6,496,16,31,3.1,59.9,1,0
F Morley (ENG),17092,1880-1883,4,296,16,18.5,1.82,60.7,1,0
PJ Petherick (NZ),38122,1976-1977,6,681,16,42.56,3.13,81.5,0,0
GO Rabone (NZ),38242,1949-1955,12,635,16,39.68,2.75,86.5,1,0
A Ranatunga (SL),50244,1982-2000,93,1040,16,65,2.62,148.3,0,0
J Yadav (IND),447587,2016-2022,6,465,16,29.06,3.38,51.5,0,0
Yamin Ahmadzai (AFG),440968,2018-2025,8,512,16,32,3.09,62,0,0
GJ Batty (ENG),9042,2003-2016,9,914,15,60.93,3.19,114.2,0,0
C Bosch (SA),594322,2024-2025,3,256,15,17.06,3.47,29.4,1,0
MA Butcher (ENG),9327,1997-2004,71,541,15,36.06,3.6,60,0,0
TW Cartwright (ENG),10679,1964-1965,5,544,15,36.26,2.02,107.4,1,0
WH Copson (ENG),10812,1939-1947,3,297,15,19.8,2.33,50.8,1,0
D Elgar (SA),230852,2012-2024,86,673,15,44.86,3.89,69,0,0
C Gladwin (ENG),13381,1947-1949,8,571,15,38.06,1.6,141.9,0,0
HA Gomes (WI),51891,1976-1987,60,930,15,62,2.32,160,0,0
JP Greaves (WI),510823,2024-2025,11,535,15,35.66,3.59,59.6,0,0
JR Hammond (AUS),5569,1973-1973,5,488,15,32.53,2.83,68.7,0,0
TG Hogan (AUS),5679,1983-1984,7,706,15,47.06,2.94,95.7,1,0
DEJ Ironside (SA),45694,1953-1954,3,275,15,18.33,1.67,65.7,1,0
NC Johnson (ZIM),55528,1998-2000,13,594,15,39.6,3,79,0,0
BP Julian (AUS),6056,1993-1995,7,599,15,39.93,3.27,73.2,0,0
DS Lehmann (AUS),6285,1998-2004,27,412,15,27.46,2.53,64.9,0,0
Mohammad Zahid (PAK),41299,1996-2003,5,502,15,33.46,3.8,52.8,1,1
WD Parnell (SA),265564,2010-2017,6,414,15,27.6,4.46,37,0,0
R Pollard (ENG),18561,1946-1948,4,378,15,25.2,2.05,73.4,1,0
GA Rowe (SA),47006,1896-1902,5,456,15,30.4,2.74,66.5,1,0
TT Samaraweera (SL),50424,2001-2013,81,689,15,45.93,3.11,88.4,0,0
GC Shillingford (WI),52930,1969-1972,7,537,15,35.8,2.72,78.7,0,0
CIJ Smith (ENG),20231,1935-1937,5,393,15,26.2,2.53,62,1,0
WER Somerville (NZ),38607,2018-2021,6,724,15,48.26,2.96,97.7,0,0
KR Stackpole (AUS),7666,1966-1974,43,1001,15,66.73,2.58,154.7,0,0
SJ Staples (ENG),20339,1928-1928,3,435,15,29,2.27,76.6,0,0
Zahir Khan (AFG),712219,2019-2024,6,699,15,46.6,4.66,60,0,0
MJC Allom (ENG),8524,1930-1931,5,265,14,18.92,1.94,58.3,1,0
Arif Butt (PAK),39003,1964-1965,3,288,14,20.57,2.59,47.5,1,0
MP Bicknell (ENG),9089,1993-2003,4,543,14,38.78,3.01,77.1,0,0
DD Blackie (AUS),4154,1928-1929,3,444,14,31.71,2.11,90,1,0
GS Blewett (AUS),4161,1995-2000,46,720,14,51.42,3,102.5,0,0
BP Bracewell (NZ),36304,1978-1985,6,585,14,41.78,3.38,74,0,0
N Burger (SA),971349,2023-2024,3,237,14,16.92,3.78,26.8,0,0
G Coetzee (SA),596010,2023-2024,4,330,14,23.57,4.28,33,0,0
RMH Cottam (ENG),10824,1969-1973,4,327,14,23.35,2.17,64.5,0,0
MD Crowe (NZ),36622,1982-1995,77,676,14,48.28,2.94,98.3,0,0
W Flowers (ENG),12860,1884-1893,8,296,14,21.14,2.06,61.2,1,0
TW Hayward (ENG),14119,1896-1909,35,514,14,36.71,3.45,63.7,0,0
MJ Hilton (ENG),14213,1950-1952,4,477,14,34.07,2.3,88.8,1,0
RD Jackman (ENG),15461,1981-1982,4,445,14,31.78,2.49,76.4,0,0
TK Kendall (AUS),6141,1877-1877,2,215,14,15.35,2.29,40.2,1,0
F Martin (ENG),16918,1890-1892,2,141,14,10.07,2.06,29.2,2,1
BJ McCarthy (IRE),348059,2024-2025,4,248,14,17.71,2.74,38.7,0,0
Mir Hamza (PAK),556684,2018-2025,7,632,14,45.14,3.2,84.5,0,0
Mohammad Sharif (BAN),55986,2001-2007,10,1106,14,79,4.01,117.9,0,0
JDS Neesham (NZ),355269,2014-2017,12,675,14,48.21,3.76,76.8,0,0
MJ North (AUS),6943,2009-2010,21,591,14,42.21,2.81,89.8,1,0
RK Oxenham (AUS),7023,1928-1931,7,522,14,37.28,1.73,128.7,0,0
PM Pushpakumara (SL),50205,2017-2018,4,520,14,37.14,3.62,61.4,0,0
RMMP Rathnayake (SL),1070229,2024-2025,5,393,14,28.07,3.42,49.2,0,0
Shadab Khan (PAK),922943,2017-2020,6,513,14,36.64,3.22,68.1,0,0
Talha Jubair (BAN),56180,2002-2004,7,771,14,55.07,4.24,77.8,0,0
A Ward (ENG),22292,1969-1976,5,453,14,32.35,3.57,54.3,0,0
BT Watambwa (ZIM),55843,2001-2002,6,490,14,35,3.15,66.5,0,0
Akram Raza (PAK),38989,1989-1995,9,732,13,56.3,2.87,117.3,0,0
AG Barrett (WI),51213,1971-1975,6,603,13,46.38,2.24,124,0,0
J Birkenshaw (ENG),9103,1973-1974,5,469,13,36.07,2.76,78.2,1,0
GD Campbell (AUS),4523,1989-1990,4,503,13,38.69,3.17,73.1,0,0
GF Cresswell (NZ),36617,1949-1951,3,292,13,22.46,2.69,50,1,0
S Elworthy (SA),44960,1998-2002,4,444,13,34.15,3.07,66.6,0,0
NE Haig (ENG),13993,1921-1930,5,448,13,34.46,2.61,78.9,0,0
Haris Sohail (PAK),318788,2017-2021,16,294,13,22.61,2.8,48.4,0,0
RO Hinds (WI),52055,2002-2009,15,870,13,66.92,2.99,134,0,0
HHH Johnson (WI),52200,1948-1950,3,238,13,18.3,1.8,60.6,2,1
Khaled Mahmud (BAN),55952,2001-2003,12,832,13,64,3.08,124.6,0,0
JJ Krejza (AUS),6235,2008-2008,2,562,13,43.23,4.53,57.1,1,1
M Labuschagne (AUS),787987,2018-2025,58,795,13,61.15,3.76,97.5,0,0
D Mohammed (WI),52490,2004-2006,5,668,13,51.38,3.76,81.9,0,0
JB Mortimore (ENG),17111,1959-1964,9,733,13,56.38,2.03,166.3,0,0
TJ Murtagh (IRE),17134,2018-2019,3,213,13,16.38,2.24,43.8,1,0
Mushfiqur Rahman (BAN),55976,2001-2004,10,823,13,63.3,3.61,105,0,0
JDA O'Connor (AUS),6992,1908-1909,4,340,13,26.15,2.94,53.2,1,0
SK Raina (IND),33335,2010-2015,18,603,13,46.38,3.47,80,0,0
GR Robertson (AUS),7366,1998-1998,4,515,13,39.61,3.44,69,0,0
MD Shanaka (SL),437316,2016-2021,6,431,13,33.15,3.39,58.6,0,0
DA Stirling (NZ),38404,1984-1986,6,601,13,46.23,3.99,69.3,0,0
JB Stollmeyer (WI),52953,1939-1955,32,507,13,39,3.07,76.1,0,0
Zahid Mahmood (PAK),433614,2022-2024,4,505,13,38.84,6.43,36.2,0,0
MI Black (WI),51228,2000-2002,6,597,12,49.75,3.75,79.5,0,0
RC Blunt (NZ),36301,1930-1932,9,472,12,39.33,3.02,78,0,0
NW Bracken (AUS),4185,2003-2005,5,505,12,42.08,2.72,92.5,0,0
W Bruce (AUS),4228,1885-1895,14,440,12,36.66,2.67,82.3,0,0
HJ Butler (ENG),9331,1947-1948,2,215,12,17.91,2.33,46,0,0
GE Corling (AUS),4628,1964-1964,5,447,12,37.25,2.31,96.5,0,0
EL Dalton (SA),44673,1929-1939,15,490,12,40.83,3.4,72,0,0
UG Dowe (WI),51653,1971-1973,4,534,12,44.5,3.15,84.5,0,0
Elias Sunny (BAN),55883,2011-2013,4,518,12,43.16,3.6,71.9,1,0
ESH Giddins (ENG),13362,1999-2000,4,240,12,20,3.24,37,1,0
RNS Hobbs (ENG),14227,1967-1971,7,481,12,40.08,2.23,107.5,0,0
MC Ilott (ENG),15388,1993-1995,5,542,12,45.16,3.12,86.8,0,0
RS Kalpage (SL),49356,1993-1999,11,774,12,64.5,2.94,131.3,0,0
HR Lance (SA),45960,1962-1970,13,479,12,39.91,3.03,79,0,0
RW McLeod (AUS),6585,1892-1893,6,382,12,31.83,2.1,90.7,1,0
BP Martin (NZ),37745,2013-2013,5,646,12,53.83,2.55,126.5,0,0
B Mavuta (ZIM),806239,2018-2024,5,632,12,52.66,3.78,83.5,1,0
WE Merritt (NZ),37716,1930-1931,6,617,12,51.41,3.95,78,0,0
CH Morris (SA),439952,2016-2017,4,459,12,38.25,4.42,51.9,0,0
MV Nagamootoo (WI),52630,2000-2002,5,637,12,53.08,2.55,124.5,0,0
Naimur Rahman (BAN),56035,2000-2002,8,718,12,59.83,3.26,110,1,0
PH Parfitt (ENG),18411,1961-1972,37,574,12,47.83,2.59,110.5,0,0
KN Peiris (SL),821573,2024-2025,3,520,12,43.33,3.95,65.7,1,0
DB Pithey (SA),46761,1963-1967,8,577,12,48.08,2.43,118.6,1,0
AJ Richardson (AUS),7334,1924-1926,9,521,12,43.41,1.72,151,0,0
A Shaw (ENG),20137,1877-1882,7,285,12,23.75,1.56,91.3,1,0
SG Shinde (IND),33999,1946-1952,7,717,12,59.75,2.83,126.2,1,0
K Shuttleworth (ENG),20182,1970-1971,5,427,12,35.58,2.39,89.2,1,0
VI Smith (SA),47213,1947-1957,9,769,12,64.08,2.78,137.9,0,0
Syed Rasel (BAN),56160,2005-2007,6,573,12,47.75,3.91,73.2,0,0
AL Thomson (AUS),7944,1970-1971,4,654,12,54.5,2.58,126.5,0,0
BM Tickner (NZ),854909,2023-2023,3,435,12,36.25,4.11,52.9,0,0
BV Vitori (ZIM),235514,2011-2013,4,464,12,38.66,3.34,69.4,1,0
HI Young (ENG),23532,1899-1899,2,262,12,21.83,2.82,46.3,0,0
RP Arnold (SL),48122,1997-2004,44,598,11,54.36,2.68,121.2,0,0
SF Burke (SA),44143,1962-1965,2,257,11,23.36,2.33,60,2,1
RKJ Dawson (ENG),11848,2001-2003,7,677,11,61.54,3.63,101.4,0,0
H Dean (ENG),11855,1912-1912,3,153,11,13.9,2.05,40.6,0,0
RP de Groen (NZ),36826,1993-1994,5,505,11,45.9,2.85,96.3,0,0
WRS de Silva (SL),48492,2002-2007,3,209,11,19,2.9,39.2,0,0
RV Divecha (IND),28095,1951-1952,5,361,11,32.81,2.07,94.9,0,0
Fazl-e-Akbar (PAK),40094,1998-2004,5,511,11,46.45,3.47,80.1,0,0
JB Gannon (AUS),5358,1977-1978,3,361,11,32.81,2.98,66,0,0
RS Grant (WI),51897,1935-1939,7,353,11,32.09,2.14,89.6,0,0
TP Horan (AUS),5705,1877-1885,15,143,11,13,2.3,33.9,1,0
A Hurwood (AUS),5733,1930-1931,2,170,11,15.45,1.97,47,0,0
Jalal-ud-Din (PAK),40872,1982-1985,6,537,11,48.81,2.69,108.8,0,0
MP Jarvis (ZIM),55525,1992-1994,5,393,11,35.72,1.85,115.7,0,0
PNF Mansell (SA),46170,1951-1955,13,736,11,66.9,2.93,136.9,0,0
DA Marillier (ZIM),55578,2000-2002,5,322,11,29.27,3.13,56,0,0
VJ Marks (ENG),16899,1982-1984,6,484,11,44,2.68,98.3,0,0
CS Marriott (ENG),16903,1933-1933,1,96,11,8.72,2.33,22.4,2,1
RB Minnett (AUS),6622,1911-1912,9,290,11,26.36,2.95,53.5,0,0
Mohammad Munaf (PAK),41291,1959-1962,4,341,11,31,2.66,69.9,0,0
Mominul Haque (BAN),373696,2013-2025,74,600,11,54.54,3.79,86.2,0,0
Naveed Zadran (AFG),1276921,2024-2024,3,330,11,30,4,44.9,0,0
C Newberry (SA),46574,1913-1914,4,268,11,24.36,2.88,50.7,0,0
M Ngam (SA),46599,2000-2001,3,189,11,17.18,2.89,35.6,0,0
ML Nkala (ZIM),55663,2000-2005,10,727,11,66.09,3,132,0,0
NLTC Perera (SL),233514,2011-2012,6,653,11,59.36,4.1,86.7,0,0
RTD Perks (ENG),18504,1939-1939,2,355,11,32.27,2.56,75.3,2,0
AL Phehlukwayo (SA),540316,2017-2018,4,147,11,13.36,3.52,22.7,0,0
JA Richardson (AUS),774223,2019-2021,3,243,11,22.09,2.72,48.6,1,0
JW Sharpe (ENG),20124,1890-1892,3,305,11,27.72,1.87,88.6,1,0
CEW Silverwood (ENG),20193,1996-2002,6,444,11,40.36,3.21,75.2,1,0
JM Sims (ENG),20200,1935-1937,4,480,11,43.63,3.24,80.6,1,0
L Sipamla (SA),698143,2020-2022,3,245,11,22.27,3.5,38,0,0
TAM Siriwardana (SL),222354,2015-2016,5,257,11,23.36,3.73,37.5,0,0
JC Tredwell (ENG),21646,2010-2015,2,321,11,29.18,2.45,71.4,0,0
PHJ Trimborn (SA),47554,1967-1970,4,257,11,23.36,2.06,67.9,0,0
JTC Vaughan (NZ),38708,1992-1997,6,450,11,40.9,2.59,94.5,0,0
CL Walcott (WI),53211,1948-1960,44,408,11,37.09,2.05,108.5,0,0
FA Ward (AUS),8157,1936-1938,4,574,11,52.18,2.71,115.2,1,0
SL Watkin (ENG),22333,1991-1993,3,305,11,27.72,3.42,48.5,0,0
AJ Watkins (ENG),22329,1948-1952,15,554,11,50.36,2.43,124,0,0
ET Willett (WI),53227,1973-1975,5,482,11,43.81,2.18,120.5,0,0
D Wilson (ENG),22469,1964-1971,6,466,11,42.36,1.89,133.8,0,0
Zia-ur-Rehman (AFG),633374,2024-2025,4,404,11,36.72,3.06,72,1,0
J Angel (AUS),3975,1993-1995,4,463,10,46.3,3.71,74.8,0,0
CG Butts (WI),51241,1985-1988,7,595,10,59.5,2.29,155.4,0,0
OC Dawson (SA),44683,1947-1949,9,578,10,57.8,2.68,129.4,0,0
PLS Gamage (SL),268845,2017-2018,5,573,10,57.3,3.09,111.2,0,0
GL Jessop (ENG),15509,1899-1912,18,354,10,35.4,2.9,73.2,0,0
RK Kleinveldt (SA),45949,2012-2013,4,422,10,42.2,3.79,66.7,0,0
AG Kripal Singh (IND),30132,1955-1964,14,584,10,58.4,2.3,151.8,0,0
CH Lloyd (WI),52345,1966-1985,110,622,10,62.2,2.17,171.6,0,0
JN Maguire (AUS),6460,1983-1984,3,323,10,32.3,3.14,61.6,0,0
